"SiteID","Interior_or_Exterior","Door_Type","Door_Construction","Door_Mechanism","Door_Window_Type","Door_Window_Type_Other","Door_Height_Inches","Door_Width_Inches","Door_Dimensions_Are_Estimated","Door_Area","Door_U_Value","Door_UA"
"SITE_988","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"80","70","Measured or Known","5600","0.853","33.1722222222222"
"SITE_988","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_988","Exterior","Metal","Single","Hinge","None",NA,"80","32","Measured or Known","2560","1.22666666666666","21.8074074074073"
"SITE_989","Exterior","Fiberglass","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","0.853333333333333","17.0666666666667"
"SITE_989","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_989","Exterior","Wood Hollow","Single","Hinge","Decorative window (arch, etc.)",NA,"79","32","Measured or Known","2528","0.45","7.9"
"SITE_99","Exterior","Wood Solid Core","Single","Hinge","Decorative window (arch, etc.)",NA,"78","38","Measured or Known","2964","0.4","8.23333333333333"
"SITE_99","Exterior","Wood Solid Core","Double","Hinge","> 80% window (glass French door)",NA,"76","68","Measured or Known","5168","0.4","14.3555555555556"
"SITE_990","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_990","Exterior","Fiberglass","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.853333333333333","17.0666666666667"
"SITE_990","Exterior","Metal","Double","Hinge","> 80% window (glass French door)",NA,"80","70","Measured or Known","5600","1.22666666666666","47.7037037037034"
"SITE_990","Exterior","Wood Solid Core","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_990","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_991","Exterior","Wood Solid Core","Single","Hinge","> 80% window (glass French door)",NA,"80","33","Measured or Known","2640","0.4","7.33333333333333"
"SITE_991","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","33","Measured or Known","2640","0.4","7.33333333333333"
